Time [ms], Thrust [N]
195,  350.17930032263564
196,  349.99573530439545
197,  349.7976339727755
198,  349.59791249377224
199,  349.3912248825209
200,  349.18838225178996
201,  349.000712354273
202,  348.81851689096277
203,  348.6434171596407
204,  348.4735325105419
205,  348.29316325388703
206,  348.09300535880567
207,  347.86853848777315
208,  347.60443014659467
209,  347.2802830683148
210,  346.9011113601375
211,  346.4917801993333
212,  346.04930519234364
213,  345.57580853558284
214,  345.1096688813953
215,  344.68830886110777
216,  344.3264404380897
217,  344.0140298621563
218,  343.75553980098465
219,  343.54228076287995
220,  343.5775483420944
221,  343.5601772257201
222,  343.7093931313176
223,  343.6600849286607
224,  343.5531589156213
225,  343.0842828108972
226,  342.0141747737397
227,  340.12732048374306
228,  337.29920770789295
229,  333.44338059512097
230,  328.2271712803743
231,  321.71657147342063
232,  314.27521373714444
233,  306.3500027548349
234,  298.49770697327807
235,  291.9688105756872
236,  287.9937312002883
237,  288.2760422928736
238,  294.37324973897375
239,  308.0169361379468
240,  330.8368401187027
241,  364.2368020521006
242,  409.0636272956629
243,  465.7407242735786
244,  534.0438647788653
245,  613.1262723748175
246,  701.3176391052225
247,  796.3857436879687
248,  895.6562371874871
249,  996.0452043913776
250,  1094.1751959278447
251,  1186.8352575112826
252,  1270.9401960263717
253,  1343.888071339811
254,  1403.5680845118677
255,  1448.6189033810488
256,  1478.5733366740885
257,  1493.668871624813
258,  1494.918617254166
259,  1484.0697676814289
260,  1463.5410582794998
261,  1436.055135800019
262,  1404.598509295851
263,  1372.239622547479
264,  1341.926082955502
265,  1316.2196060237197
266,  1297.1276635042418
267,  1286.0924455507557
268,  1283.8902512800855
269,  1290.4696921874684
270,  1305.025657407606
271,  1325.898904341645
272,  1351.3800291661705
273,  1378.8728119709606
274,  1406.1220859027367
275,  1430.4808428801623
276,  1449.9716190245074
277,  1463.0005721491725
278,  1468.5118171197262
279,  1466.1120777237275
280,  1456.1202727543598
281,  1439.8832061066273
282,  1419.0586022738664
283,  1395.6464437656707
284,  1372.1044773816193
285,  1351.042754662643
286,  1334.496534275409
287,  1324.4545953732945
288,  1322.1026822875035
289,  1328.3101734558654
290,  1343.100470813254
291,  1365.8108762283316
292,  1395.2253031905675
293,  1429.7429468200512
294,  1467.3805746718344
295,  1506.0517910267074
296,  1543.6601255589667
297,  1578.4599382242352
298,  1608.974216220246
299,  1634.0810861199589
300,  1653.184603912728
301,  1666.2764466497
302,  1673.6278755879007
303,  1676.0458617886927
304,  1674.5331033180462
305,  1670.3893688914181
306,  1664.947499425803
307,  1659.417339232621
308,  1655.0126333151384
309,  1652.7304219510233
310,  1653.3217368555972
311,  1657.192893296777
312,  1664.536732433851
313,  1675.2627196899712
314,  1689.0082426703602
315,  1705.2115296669892
316,  1723.1463283026235
317,  1742.0455734997415
318,  1761.0800078108548
319,  1779.409430348267
320,  1796.325416572996
321,  1811.2386899644505
322,  1823.7506835821225
323,  1833.633084603768
324,  1840.8548725428977
325,  1845.6692652150773
326,  1848.4132797832494
327,  1849.6382383953764
328,  1849.938773105429
329,  1850.0031290648851
330,  1850.4778999279315
331,  1851.9449603751784
332,  1854.8625392511337
333,  1859.5510489318033
334,  1866.1411145083823
335,  1874.5608998337798
336,  1884.596277397083
337,  1895.8821801181023
338,  1907.9268580577655
339,  1920.2043834133287
340,  1932.159959722606
341,  1943.2955750785395
342,  1953.179324228351
343,  1961.4636968715872
344,  1967.9899848815285
345,  1972.6948731134864
346,  1975.6258494450828
347,  1976.947832343596
348,  1976.9110365281963
349,  1975.7971749194676
350,  1973.904358528915
351,  1971.5159176928723
